XSD要素,届出項目（ラベル）,登場セクション,取りうるSTATUS,繰り返しグループ/順序番号型
INSTITUTE_TELNUM,電話番号,4.5 実施医療機関ごとの事項,NONE,
CHIEFINVEST_NAME,治験責任医師の氏名,4.5 実施医療機関ごとの事項,NONE,
NUMMEDICALSCHOOL,大学番号,4.5 実施医療機関ごとの事項,NONE,
GRADUATYEARMEDICALSCHOOL,(記入例にラベル明示なし),4.5 実施医療機関ごとの事項,NONE,
CHIEFINVEST_PRONOUNCE,氏名よみかな,4.5 実施医療機関ごとの事項,NONE,
INVESTIGATER_NAME,治験分担医師の氏名,4.5 実施医療機関ごとの事項,NONE,B:イベント行型（分担医師）
INVEST_PRONOUNCE,氏名よみかな,4.5 実施医療機関ごとの事項,NONE,B:イベント行型（分担医師）
NAMEINVESTPRODUCT,(記入例にラベル明示なし),4.5 実施医療機関ごとの事項,NONE,A:突合キー型（治験薬・数量）
QUANTITIESPLANNED,予定交付（入手）数量,4.5 実施医療機関ごとの事項,NONE,A:突合キー型（治験薬・数量）
QUANTITIESSUPPLIED,交付数量,4.5 実施医療機関ごとの事項,NONE,A:突合キー型（治験薬・数量）
QUANTITIESUSED,使用数量,4.5 実施医療機関ごとの事項,NONE,A:突合キー型（治験薬・数量）
QUANTITIESWITHDRAWN,回収数量,4.5 実施医療機関ごとの事項,NONE,A:突合キー型（治験薬・数量）
QUANTITIESABROGATED,廃棄数量,4.5 実施医療機関ごとの事項,NONE,A:突合キー型（治験薬・数量）
PLANNUMSUBJMEDICALINSTUTUT,実施医療機関予定被験者数,4.5 実施医療機関ごとの事項,NONE,
NUMSUBJENROLLINSTITUTION,実施医療機関被験者数,4.5 実施医療機関ごとの事項,NONE,
SMO_NAME,氏名,4.5 実施医療機関ごとの事項,NONE,
SMO_ADDRESS1,住所１,4.5 実施医療機関ごとの事項,NONE,
SMO_ADDRESS2,住所２,4.5 実施医療機関ごとの事項,NONE,
SMO_SERVICE,委託する業務の範囲,4.5 実施医療機関ごとの事項,NONE,
TYPEIRB,院内・外部の区分,4.5 実施医療機関ごとの事項,NONE,
IRB_OWNER_NAME,治験審査委員会の設置者の名称,4.5 実施医療機関ごとの事項,NONE,
IRB_ADDRESS1,所在地１,4.5 実施医療機関ごとの事項,NONE,
IRB_ADDRESS2,所在地２,4.5 実施医療機関ごとの事項,NONE,
OTHERS,その他,4.5 実施医療機関ごとの事項,NONE,
FOOTNOTE,脚注,4.5 実施医療機関ごとの事項,NONE,
REF_PRODUCTCATEGORY,医薬品／医療機器／再生医療等製品の別,4.6 参照する治験届出情報,NONE,
REF_INFOTESTSUBSTANCEIDCODE,治験成分記号又は治験識別記号,4.6 参照する治験届出情報,NONE,
REF_SERIALNOTENUM,届出回数,4.6 参照する治験届出情報,NONE,
TYPEREFFERENCE,参照の区分,4.6 参照する治験届出情報,NONE,
NAME,実施医療機関の名称 / 責任医師の氏名 / 分担医師の氏名,5.2 変更届：インスタンスの入力方法,NONE,
